architecture,block_recall,category,latency_p50_seconds,latency_p95_seconds,llm_calls_mean,llm_latency_p50_seconds,llm_latency_p95_seconds,n,premature_proceed_count,premature_proceed_denominator,premature_proceed_rate,proceed_recall,readiness_accuracy,readiness_balanced_accuracy,structured_output_failure_rate,total_tokens_median,unnecessary_block_count,unnecessary_block_denominator,unnecessary_block_rate
inner_speech_gate,0.7391304347826086,ALL,8.171598701999756,8.639152327396733,1,0.6852031480011647,1.1491217365997726,29,6,23,0.2608695652173913,1.0,0.7931034482758621,0.8695652173913043,0.0,789,0,6,0.0
inner_speech_gate,,complete_valid,8.393514688497817,9.769643070500024,1,1.0479677410039585,2.269665132249429,6,0,0,,1.0,1.0,1.0,0.0,750.5,0,6,0.0
inner_speech_gate,1.0,out_of_scope,8.243844730001001,8.404344191499694,1,0.7439294189971406,0.9043393143008871,3,0,3,0.0,,1.0,1.0,0.0,585,0,0,
inner_speech_gate,0.5714285714285714,semantic_upstream_error,8.135099598002853,8.433061693701166,1,0.6351594305015169,0.9331431842514576,14,6,14,0.42857142857142855,,0.5714285714285714,0.5714285714285714,0.0,803.5,0,0,
inner_speech_gate,1.0,syntactic_missing,8.104063548496924,8.52001624724835,1,0.6041358524998941,1.0200570055021672,6,0,6,0.0,,1.0,1.0,0.0,823.0,0,0,
rule_gate,0.391304347826087,ALL,2.500019036233425e-07,4.631991032510994e-07,0,0.0,0.0,29,14,23,0.6086956521739131,1.0,0.5172413793103449,0.6956521739130435,0.0,0,0,6,0.0
rule_gate,,complete_valid,2.799970388878137e-07,1.1412485036998987e-06,0,0.0,0.0,6,0,0,,1.0,1.0,1.0,0.0,0.0,0,6,0.0
rule_gate,1.0,out_of_scope,2.5599729269742966e-07,2.640976163093001e-07,0,0.0,0.0,3,0,3,0.0,,1.0,1.0,0.0,0,0,0,
rule_gate,0.0,semantic_upstream_error,2.2300082491710782e-07,4.451983841136098e-07,0,0.0,0.0,14,14,14,1.0,,0.0,0.0,0.0,0.0,0,0,
rule_gate,1.0,syntactic_missing,2.2099629859440029e-07,3.2050411391537637e-07,0,0.0,0.0,6,0,6,0.0,,1.0,1.0,0.0,0.0,0,0,
