action_accuracy,architecture,category,decision_accuracy,decision_macro_recall,decision_recall_clarify,decision_recall_execute,decision_recall_reject,false_rejection_count,false_rejection_denominator,false_rejection_rate,latency_p50_seconds,latency_p95_seconds,llm_calls_mean,llm_latency_p50_seconds,llm_latency_p95_seconds,n,operational_task_success,parameter_exact_match,parameter_micro_f1,parameter_micro_precision,parameter_micro_recall,premature_execution_count,premature_execution_denominator,premature_execution_rate,strict_state_match,structured_output_failure_rate,total_tokens_median,unnecessary_clarification_count,unnecessary_clarification_denominator,unnecessary_clarification_rate
1.0,direct_llm,ALL,0.9545454545454546,0.9648148148148148,0.95,0.9444444444444444,1.0,0,38,0.0,8.147336866997648,8.512848700652466,1,0.6474023405025946,1.0129237971985277,44,0.9545454545454546,0.6136363636363636,0.921875,0.9779005524861878,0.8719211822660099,1,26,0.038461538461538464,0.5681818181818182,0.0,1174.0,1,18,0.05555555555555555
1.0,direct_llm,ambiguous_inconsistent,1.0,1.0,1.0,1.0,,0,10,0.0,8.171367309994821,8.630494617596923,1,0.67131059500025,1.1305544040002131,10,1.0,0.3,0.9038461538461537,0.9591836734693877,0.8545454545454545,0,9,0.0,0.3,0.0,1185.5,0,1,0.0
1.0,direct_llm,complete_valid,1.0,1.0,,1.0,,0,12,0.0,8.196383971502655,8.487930009050979,1,0.6963843609992182,0.9880838643981406,12,1.0,1.0,1.0,1.0,1.0,0,0,,1.0,0.0,1202.0,0,12,0.0
1.0,direct_llm,memory_context,0.8333333333333334,0.9,1.0,0.8,,0,6,0.0,8.147656952500256,8.350441916496493,1,0.6475203039990447,0.8382043197507301,6,0.8333333333333334,0.8333333333333334,0.9411764705882353,0.96,0.9230769230769231,0,1,0.0,0.6666666666666666,0.0,1183.0,1,5,0.2
1.0,direct_llm,missing_required,0.9,0.9,0.9,,,0,10,0.0,8.042793796998012,8.36352135889938,1,0.5428291829957743,0.8634483305486356,10,0.9,0.1,0.8316831683168318,0.9767441860465116,0.7241379310344828,1,10,0.1,0.0,0.0,1151.0,0,0,
1.0,direct_llm,out_of_scope,1.0,1.0,,,1.0,0,0,,8.057934293501603,8.150839357498626,1,0.5579444214963587,0.6508469902491925,6,1.0,1.0,0.0,0.0,0.0,0,6,0.0,1.0,0.0,1074.0,0,0,
0.8409090909090909,janus_factored,ALL,0.8181818181818182,0.8666666666666667,0.6,1.0,1.0,7,38,0.18421052631578946,15.985254540995811,16.40515906185319,2,0.9920932425011415,1.4049934774022406,44,0.8181818181818182,0.7045454545454546,0.8760330578512396,0.99375,0.7832512315270936,1,26,0.038461538461538464,0.7045454545454546,0.0,1623.5,0,18,0.0
0.6,janus_factored,ambiguous_inconsistent,0.5,0.7222222222222222,0.4444444444444444,1.0,,4,10,0.4,16.12469551200047,16.625361767950015,2,1.1249384564944194,1.625502399701872,10,0.5,0.4,0.7555555555555554,0.9714285714285714,0.6181818181818182,1,9,0.1111111111111111,0.4,0.0,1656.5,0,1,0.0
1.0,janus_factored,complete_valid,1.0,1.0,,1.0,,0,12,0.0,15.998163216001558,16.31806727505318,2,1.032373555994127,1.3183275773979402,12,1.0,1.0,1.0,1.0,1.0,0,0,,1.0,0.0,1722.5,0,12,0.0
0.8333333333333334,janus_factored,memory_context,0.8333333333333334,0.5,0.0,1.0,,1,6,0.16666666666666666,16.00091799400252,16.482339543254056,2,1.000831230001495,1.4827364302600472,6,0.8333333333333334,0.8333333333333334,0.9387755102040816,1.0,0.8846153846153846,0,1,0.0,0.8333333333333334,0.0,1640.0,0,5,0.0
0.8,janus_factored,missing_required,0.8,0.8,0.8,,,2,10,0.2,15.888803810499667,16.19333024760308,2,0.888883439503843,1.193214824194729,10,0.8,0.4,0.7916666666666666,1.0,0.6551724137931034,0,10,0.0,0.4,0.0,1643.5,0,0,
1.0,janus_factored,out_of_scope,1.0,1.0,,,1.0,0,0,,15.895312847998866,16.06554197775222,2,0.8952875924987893,1.0655058419979468,6,1.0,1.0,0.0,0.0,0.0,0,6,0.0,1.0,0.0,1378.0,0,0,
0.8409090909090909,janus_rule_gate,ALL,0.7727272727272727,0.8333333333333334,0.5,1.0,1.0,7,38,0.18421052631578946,8.008575118008594,8.207088707253206,1,0.5093193044995132,0.7143545428963989,44,0.7727272727272727,0.7045454545454546,0.8760330578512396,0.99375,0.7832512315270936,3,26,0.11538461538461539,0.6590909090909091,0.0,944.5,0,18,0.0
0.6,janus_rule_gate,ambiguous_inconsistent,0.3,0.6111111111111112,0.2222222222222222,1.0,,4,10,0.4,8.035329052501766,8.205839310954616,1,0.5353798839969386,0.705912306249229,10,0.3,0.4,0.7555555555555554,0.9714285714285714,0.6181818181818182,3,9,0.3333333333333333,0.2,0.0,952.5,0,1,0.0
1.0,janus_rule_gate,complete_valid,1.0,1.0,,1.0,,0,12,0.0,8.040522781997424,8.130040419303622,1,0.5518951670019305,0.7171919495507608,12,1.0,1.0,1.0,1.0,1.0,0,0,,1.0,0.0,998.5,0,12,0.0
