action_accuracy,architecture,category,decision_accuracy,decision_macro_recall,decision_recall_clarify,decision_recall_execute,decision_recall_reject,false_rejection_count,false_rejection_denominator,false_rejection_rate,latency_p50_seconds,latency_p95_seconds,llm_calls_mean,llm_latency_p50_seconds,llm_latency_p95_seconds,n,operational_task_success,parameter_exact_match,parameter_micro_f1,parameter_micro_precision,parameter_micro_recall,premature_execution_count,premature_execution_denominator,premature_execution_rate,strict_state_match,structured_output_failure_rate,total_tokens_median,unnecessary_clarification_count,unnecessary_clarification_denominator,unnecessary_clarification_rate
1.0,direct_llm,ALL,0.9772727272727273,0.9814814814814815,1.0,0.9444444444444444,1.0,0,38,0.0,8.42961556649243,8.820205332895421,1,0.9295894495080574,1.3202135585524957,44,0.9772727272727273,0.6136363636363636,0.9298701298701298,0.9835164835164835,0.8817733990147784,0,26,0.0,0.5909090909090909,0.0,1398.5,1,18,0.05555555555555555
1.0,direct_llm,ambiguous_inconsistent,1.0,1.0,1.0,1.0,,0,10,0.0,8.574094218995015,8.803489416751836,1,1.074083769992285,1.303380035854934,10,1.0,0.3,0.8952380952380952,0.94,0.8545454545454545,0,9,0.0,0.3,0.0,1410.5,0,1,0.0
1.0,direct_llm,complete_valid,1.0,1.0,,1.0,,0,12,0.0,8.282616302007227,8.401064458142354,1,0.7826259964931523,0.9010526025587751,12,1.0,1.0,1.0,1.0,1.0,0,0,,1.0,0.0,1415.5,0,12,0.0
1.0,direct_llm,memory_context,0.8333333333333334,0.9,1.0,0.8,,0,6,0.0,8.653833988500992,8.81931729349526,1,1.153725227501127,1.3193180902526365,6,0.8333333333333334,0.8333333333333334,0.9803921568627451,1.0,0.9615384615384616,0,1,0.0,0.6666666666666666,0.0,1391.5,1,5,0.2
1.0,direct_llm,missing_required,1.0,1.0,1.0,,,0,10,0.0,8.328499481009203,8.425596984498407,1,0.828519459508243,0.9255615813519398,10,1.0,0.1,0.8514851485148515,1.0,0.7413793103448276,0,10,0.0,0.1,0.0,1398.5,0,0,
1.0,direct_llm,out_of_scope,1.0,1.0,,,1.0,0,0,,8.456751104502473,8.798611856753269,1,0.9567784169994411,1.2986641295028676,6,1.0,1.0,0.0,0.0,0.0,0,6,0.0,1.0,0.0,1327.5,0,0,
1.0,janus_factored,ALL,0.9545454545454546,0.9666666666666667,0.9,1.0,1.0,0,38,0.0,16.382206223999674,16.90296213890906,2,1.4339631389957503,1.9030848200076433,44,0.8863636363636364,0.5681818181818182,0.8826530612244898,0.9153439153439153,0.8522167487684729,2,26,0.07692307692307693,0.5681818181818182,0.0,2049.0,0,18,0.0
1.0,janus_factored,ambiguous_inconsistent,0.8,0.8888888888888888,0.7777777777777778,1.0,,0,10,0.0,16.763226107505034,17.036179570202513,2,1.763222574503743,2.035905911696318,10,0.7,0.2,0.8181818181818182,0.8181818181818182,0.8181818181818182,2,9,0.2222222222222222,0.2,0.0,2092.5,0,1,0.0
1.0,janus_factored,complete_valid,1.0,1.0,,1.0,,0,12,0.0,16.297003876999952,16.51283884579825,2,1.3280028234948986,1.6502784540512947,12,0.9166666666666666,0.9166666666666666,0.984375,0.984375,0.984375,0,0,,0.9166666666666666,0.0,2130.0,0,12,0.0
1.0,janus_factored,memory_context,1.0,1.0,1.0,1.0,,0,6,0.0,16.702533793999464,16.87100596100572,2,1.70247300950723,1.871019479494862,6,0.8333333333333334,0.6666666666666666,0.8461538461538461,0.8461538461538461,0.8461538461538461,0,1,0.0,0.6666666666666666,0.0,1977.0,0,5,0.0
1.0,janus_factored,missing_required,1.0,1.0,1.0,,,0,10,0.0,16.12364098499529,16.46296230930748,2,1.1235568599950057,1.4632026787505308,10,1.0,0.2,0.8431372549019609,0.9772727272727273,0.7413793103448276,0,10,0.0,0.2,0.0,2049.5,0,0,
1.0,janus_factored,out_of_scope,1.0,1.0,,,1.0,0,0,,16.48949191599968,16.80272524400789,2,1.489475237998704,1.8028552970063174,6,1.0,1.0,0.0,0.0,0.0,0,6,0.0,1.0,0.0,1734.5,0,0,
1.0,janus_rule_gate,ALL,0.7727272727272727,0.8333333333333334,0.5,1.0,1.0,0,38,0.0,8.18057640799816,8.427931143001478,1,0.6909526935050962,0.927865439359448,44,0.7045454545454546,0.5681818181818182,0.8826530612244898,0.9153439153439153,0.8522167487684729,10,26,0.38461538461538464,0.5227272727272727,0.0,1081.5,0,18,0.0
1.0,janus_rule_gate,ambiguous_inconsistent,0.1,0.5,0.0,1.0,,0,10,0.0,8.348498229999677,8.521813263247168,1,0.8485776274974342,1.0217863956058861,10,0.0,0.2,0.8181818181818182,0.8181818181818182,0.8181818181818182,9,9,1.0,0.0,0.0,1108.0,0,1,0.0
1.0,janus_rule_gate,complete_valid,1.0,1.0,,1.0,,0,12,0.0,8.12792309550423,8.233361117644382,1,0.6827697035041638,0.7920481687484425,12,0.9166666666666666,0.9166666666666666,0.984375,0.984375,0.984375,0,0,,0.9166666666666666,0.0,1106.5,0,12,0.0
1.0,janus_rule_gate,memory_context,0.8333333333333334,0.5,0.0,1.0,,0,6,0.0,8.277437333505077,8.43290586600051,1,0.777547511002922,0.9329904832447937,6,0.6666666666666666,0.6666666666666666,0.8461538461538461,0.8461538461538461,0.8461538461538461,1,1,1.0,0.6666666666666666,0.0,1076.0,0,5,0.0
1.0,janus_rule_gate,missing_required,1.0,1.0,1.0,,,0,10,0.0,8.034989946994756,8.118698111650156,1,0.5350034474977292,0.6187835958975484,10,1.0,0.2,0.8431372549019609,0.9772727272727273,0.7413793103448276,0,10,0.0,0.2,0.0,1063.0,0,0,
1.0,janus_rule_gate,out_of_scope,1.0,1.0,,,1.0,0,0,,8.09531865450117,8.219770201994834,1,0.5953867369971704,0.7199205217548297,6,1.0,1.0,0.0,0.0,0.0,0,6,0.0,1.0,0.0,1020.5,0,0,
