architecture,block_recall,category,latency_p50_seconds,latency_p95_seconds,llm_calls_mean,llm_latency_p50_seconds,llm_latency_p95_seconds,n,premature_proceed_count,premature_proceed_denominator,premature_proceed_rate,proceed_recall,readiness_accuracy,readiness_balanced_accuracy,structured_output_failure_rate,total_tokens_median,unnecessary_block_count,unnecessary_block_denominator,unnecessary_block_rate
inner_speech_gate,0.8260869565217391,ALL,7.931436690007104,8.292624209202767,1,0.43616980299702846,1.1978947012001289,29,4,23,0.17391304347826086,1.0,0.8620689655172413,0.9130434782608696,0.0,580,0,6,0.0
inner_speech_gate,,complete_valid,7.9926480395006365,8.315115676752612,1,0.5347215895017143,1.3394036185000004,6,0,0,,1.0,1.0,1.0,0.0,594.5,0,6,0.0
inner_speech_gate,0.6666666666666666,out_of_scope,8.047043585997017,8.08124956920292,1,0.5480686189985136,0.5812611292989459,3,1,3,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.0,365,0,0,
inner_speech_gate,0.7857142857142857,semantic_upstream_error,7.908992663004028,8.118384195647376,1,0.40895036649817484,0.6185469593456219,14,3,14,0.21428571428571427,,0.7857142857142857,0.7857142857142857,0.0,586.0,0,0,
inner_speech_gate,1.0,syntactic_missing,7.917110986003536,8.655985960747785,1,0.41729427999962354,1.1566942849985935,6,0,6,0.0,,1.0,1.0,0.0,580.5,0,0,
rule_gate,0.391304347826087,ALL,3.1600211514160037e-07,4.41980228060856e-06,0,0.0,0.0,29,14,23,0.6086956521739131,1.0,0.5172413793103449,0.6956521739130435,0.0,0,0,6,0.0
rule_gate,,complete_valid,2.9199873097240925e-07,1.3070020941086113e-06,0,0.0,0.0,6,0,0,,1.0,1.0,1.0,0.0,0.0,0,6,0.0
rule_gate,1.0,out_of_scope,1.9800063455477357e-07,4.677302786149084e-06,0,0.0,0.0,3,0,3,0.0,,1.0,1.0,0.0,0,0,0,
rule_gate,0.0,semantic_upstream_error,3.275017661508173e-07,2.9613507649628442e-06,0,0.0,0.0,14,14,14,1.0,,0.0,0.0,0.0,0.0,0,0,
rule_gate,1.0,syntactic_missing,3.4050390240736306e-07,6.909249350428581e-06,0,0.0,0.0,6,0,6,0.0,,1.0,1.0,0.0,0.0,0,0,
