,_time,_value,_field,device,exercise
0,2024-10-18T10:09:14.72895Z,64,heartRate,R02_000D,AL
1,2024-10-18T10:09:15.244577Z,64,heartRate,R02_000D,AL
2,2024-10-18T10:09:15.472512Z,64,heartRate,R02_000D,AL
3,2024-10-18T10:09:15.912741Z,64,heartRate,R02_000D,AL
4,2024-10-18T10:09:16.435909Z,67,heartRate,R02_000D,AL
5,2024-10-18T10:09:16.961603Z,67,heartRate,R02_000D,AL
6,2024-10-18T10:09:17.493863Z,66,heartRate,R02_000D,AL
7,2024-10-18T10:09:17.922179Z,66,heartRate,R02_000D,AL
8,2024-10-18T10:09:18.446877Z,66,heartRate,R02_000D,AL
9,2024-10-18T10:09:18.884496Z,65,heartRate,R02_000D,AL
10,2024-10-18T10:14:06.004511Z,80,heartRate,R02_000D,AL
11,2024-10-18T10:14:06.39015Z,80,heartRate,R02_000D,AL
12,2024-10-18T10:14:06.917216Z,80,heartRate,R02_000D,AL
13,2024-10-18T10:14:07.44019Z,80,heartRate,R02_000D,AL
14,2024-10-18T10:14:07.876714Z,81,heartRate,R02_000D,AL
15,2024-10-18T10:14:08.314588Z,81,heartRate,R02_000D,AL
16,2024-10-18T10:14:09.014657Z,81,heartRate,R02_000D,AL
17,2024-10-18T10:14:09.715775Z,81,heartRate,R02_000D,AL
18,2024-10-18T10:14:09.804994Z,81,heartRate,R02_000D,AL
19,2024-10-18T10:14:10.327172Z,81,heartRate,R02_000D,AL
20,2024-10-18T10:14:46.036236Z,86,heartRate,R02_000D,AL
21,2024-10-18T10:14:46.730935Z,86,heartRate,R02_000D,AL
22,2024-10-18T10:14:47.256269Z,86,heartRate,R02_000D,AL
23,2024-10-18T10:14:47.605649Z,83,heartRate,R02_000D,AL
24,2024-10-18T10:14:47.953813Z,84,heartRate,R02_000D,AL
25,2024-10-18T10:14:48.477602Z,84,heartRate,R02_000D,AL
26,2024-10-18T10:14:49.012569Z,84,heartRate,R02_000D,AL
27,2024-10-18T10:14:49.441203Z,84,heartRate,R02_000D,AL
28,2024-10-18T10:14:50.053893Z,84,heartRate,R02_000D,AL
29,2024-10-18T10:14:50.490565Z,84,heartRate,R02_000D,AL
