,time,accX,accY,accZ,gyroX,gyroY,gyroZ,device,side,exercise,nth_repetition,angle,direction
0,0.97104,8.64,-0.77,-3.95,0.58,0.19,-0.06,84:FC:E6:50:9E:F8,L,A,1,0.6,up
1,0.97104,8.94,-1.35,-3.71,-0.5,-0.0,0.06,84:FC:E6:50:9E:F8,L,A,1,1.2,up
2,0.97104,8.86,-1.33,-3.49,-0.46,0.26,-0.12,84:FC:E6:50:9E:F8,L,A,1,1.7999999999999998,up
3,0.97104,8.88,-1.38,-3.56,-0.36,0.26,-0.12,84:FC:E6:50:9E:F8,L,A,1,2.4,up
4,0.97104,8.94,-1.43,-3.63,-0.25,0.24,-0.14,84:FC:E6:50:9E:F8,L,A,1,3.0,up
5,0.97104,9.03,-1.46,-3.62,-0.1,0.2,-0.15,84:FC:E6:50:9E:F8,L,A,1,3.6,up
6,0.97104,8.99,-1.45,-3.61,0.08,0.18,-0.13,84:FC:E6:50:9E:F8,L,A,1,4.2,up
7,0.97104,8.95,-1.33,-3.52,0.18,0.14,-0.12,84:FC:E6:50:9E:F8,L,A,1,4.8,up
8,0.97104,8.99,-1.36,-3.5,0.24,0.1,-0.12,84:FC:E6:50:9E:F8,L,A,1,5.3999999999999995,up
9,0.97104,8.98,-1.34,-3.37,0.24,0.07,-0.1,84:FC:E6:50:9E:F8,L,A,1,5.999999999999999,up
10,0.97104,9.06,-1.32,-3.22,0.19,0.04,-0.05,84:FC:E6:50:9E:F8,L,A,1,6.599999999999999,up
11,0.97104,9.13,-1.3,-3.18,0.07,0.04,0.0,84:FC:E6:50:9E:F8,L,A,1,7.199999999999998,up
12,0.97104,9.1,-1.29,-3.1,-0.1,0.06,0.03,84:FC:E6:50:9E:F8,L,A,1,7.799999999999998,up
13,0.97104,9.01,-1.34,-3.18,-0.24,0.09,0.03,84:FC:E6:50:9E:F8,L,A,1,8.399999999999999,up
14,0.97104,8.99,-1.37,-3.2,-0.41,0.16,0.04,84:FC:E6:50:9E:F8,L,A,1,8.999999999999998,up
15,0.97104,8.84,-1.46,-3.24,-0.54,0.2,0.06,84:FC:E6:50:9E:F8,L,A,1,9.599999999999998,up
16,0.97104,8.78,-1.42,-3.3,-0.61,0.21,0.03,84:FC:E6:50:9E:F8,L,A,1,10.199999999999998,up
17,0.97104,8.78,-1.47,-3.42,-0.58,0.24,0.03,84:FC:E6:50:9E:F8,L,A,1,10.799999999999995,up
18,0.97104,8.82,-1.54,-3.49,-0.45,0.24,-0.03,84:FC:E6:50:9E:F8,L,A,1,11.399999999999997,up
19,0.97104,8.98,-1.69,-3.62,-0.23,0.25,-0.05,84:FC:E6:50:9E:F8,L,A,1,11.999999999999996,up
20,0.97104,9.23,-1.74,-3.75,0.13,0.27,0.09,84:FC:E6:50:9E:F8,L,A,1,12.599999999999996,up
21,0.97104,9.33,-1.62,-3.66,0.45,0.27,0.2,84:FC:E6:50:9E:F8,L,A,1,13.199999999999996,up
22,0.97104,9.1,-1.43,-3.47,0.71,0.21,0.21,84:FC:E6:50:9E:F8,L,A,1,13.799999999999995,up
23,0.97104,8.87,-1.27,-3.39,-0.48,0.26,-0.11,84:FC:E6:50:9E:F8,L,A,1,14.399999999999997,up
24,0.97104,9.04,-1.33,-3.34,0.82,0.15,0.21,84:FC:E6:50:9E:F8,L,A,1,14.999999999999996,up
25,0.97104,8.85,-1.22,-3.28,-0.43,0.27,-0.1,84:FC:E6:50:9E:F8,L,A,1,15.599999999999994,up
26,0.97104,8.81,-1.16,-3.2,-0.08,0.27,-0.02,84:FC:E6:50:9E:F8,L,A,1,16.199999999999996,up
27,0.97104,9.11,-1.42,-3.76,-0.2,0.33,-0.06,84:FC:E6:50:9E:F8,L,A,1,16.799999999999997,up
28,0.97104,8.94,-1.3,-3.66,0.05,0.33,-0.03,84:FC:E6:50:9E:F8,L,A,1,17.4,up
